season,team,team_name,lg,team_wins,team_losses,team_win_pct,team_srs,team_sos,team_off_rating,team_def_rating,team_net_rating,team_pace,team_mov,team_playoffs,team_opp_efg_percent,team_opp_tov_percent,team_drb_percent,team_opp_ft_fga,team_srs_era_z,team_net_rating_era_z,team_win_pct_era_z,team_mov_era_z,team_off_rating_era_z,team_def_rating_inv_era_z,team_power_score_prelim
2026,ATL,Atlanta Hawks,NBA,46.0,36.0,0.5609756097560976,2.38,-0.03,116.1,113.7,2.4,101.7,2.41,0,0.546,13.9,74.5,0.206,0.4033092771097151,0.37650511534199993,0.3611683890565294,0.39419764783408484,0.0964077339837029,0.5902245152167639,54.33391900219526
2026,BOS,Boston Celtics,NBA,56.0,26.0,0.6829268292682927,7.37,-0.33,120.8,112.7,8.1,94.8,7.7,0,0.523,11.4,75.7,0.189,1.248903097604454,1.289730288724723,1.0835051671695877,1.2593538612750854,1.5152569098852986,0.8806524512758085,64.02541026423302
2026,BRK,Brooklyn Nets,NBA,20.0,62.0,0.24390243902439024,-9.7,0.29,108.7,119.0,-10.3,97.1,-9.99,0,0.571,13.2,74.0,0.225,-1.6437394907412757,-1.658224656931787,-1.5169072340374221,-1.6337677674151416,-2.137525011052848,-0.9490435458961722,31.53745397195239
2026,CHI,Chicago Bulls,NBA,31.0,51.0,0.3780487804878049,-5.09,0.12,113.0,118.1,-5.1,102.5,-5.21,0,0.553,11.1,75.5,0.19,-0.8625395884405251,-0.8251069548984252,-0.7223367781130582,-0.8520198089561656,-0.8394289565045813,-0.6876584034430303,40.71177817639385
2026,CHO,Charlotte Hornets,NBA,44.0,38.0,0.5365853658536586,4.48,-0.35,119.4,114.4,5.0,96.8,4.83,0,0.54,11.6,76.6,0.186,0.7591704039712285,0.7930639663586807,0.21670103343391764,0.7899779950036918,1.092620985148656,0.38692495997543175,57.62496883768178
2026,CLE,Cleveland Cavaliers,NBA,52.0,30.0,0.6341463414634146,3.78,-0.34,119.2,115.1,4.1,99.9,4.11,0,0.543,13.1,74.4,0.209,0.6405500283507239,0.6488705179298296,0.794570455924364,0.6722251644408336,1.0322444244719915,0.18362540473410377,57.6575071871528
2026,DAL,Dallas Mavericks,NBA,26.0,56.0,0.3170731707317073,-5.33,0.18,111.2,116.5,-5.3,101.7,-5.51,0,0.546,11.4,74.1,0.183,-0.9032094315104124,-0.85714994343817,-1.0835051671695872,-0.9010834883573565,-1.382818002594553,-0.22297370574856046,39.57899247123754
2026,DEN,Denver Nuggets,NBA,54.0,28.0,0.6585365853658537,4.97,-0.17,122.6,117.4,5.2,98.4,5.15,0,0.543,10.4,75.3,0.196,0.8422046669055815,0.8251069548984254,0.9390378115469759,0.8423125863649622,2.0586459559752703,-0.48435884820170233,59.72996927335198
2026,DET,Detroit Pistons,NBA,60.0,22.0,0.7317073170731707,7.53,-0.63,117.9,109.7,8.2,99.3,8.16,1,0.517,14.8,74.2,0.251,1.276016326317712,1.3057517829945953,1.3724398784148104,1.3345848363569115,0.6397967800736788,1.7519362594529426,65.28126153120863
2026,GSW,Golden State Warriors,NBA,37.0,45.0,0.45121951219512196,-0.34,0.22,115.0,115.6,-0.6,99.0,-0.56,0,0.553,14.0,72.9,0.198,-0.05761561101567359,-0.1041397127541702,-0.2889347112452232,-0.09153277823770573,-0.23566334973794523,0.038411436704581414,48.604204662394324
