season,league,round,winner,winner_wins,loser,loser_wins,Favorite,Underdog
2023,NBA,Western Conf First Round,Los Angeles Lakers (7),4,Memphis Grizzlies (2),2,MEM (-140),LAL (+120)
2023,NBA,Eastern Conf Semifinals,Miami Heat (8),4,New York Knicks (5),2,NYK (-160),MIA (+140)
2023,NBA,Eastern Conf Semifinals,Boston Celtics (2),4,Philadelphia 76ers (3),3,BOS (-550),PHI (+425)
2023,NBA,Western Conf Semifinals,Denver Nuggets (1),4,Phoenix Suns (4),2,PHO (-120),DEN (+100)
2023,NBA,Western Conf Semifinals,Los Angeles Lakers (7),4,Golden State Warriors (6),2,GSW (-150),LAL (+130)
2023,NBA,Western Conf Finals,Denver Nuggets (1),4,Los Angeles Lakers (7),0,DEN (-170),LAL (+145)
2023,NBA,Eastern Conf Finals,Miami Heat (8),4,Boston Celtics (2),3,BOS (-550),MIA (+400)
2023,NBA,Finals,Denver Nuggets (1),4,Miami Heat (8),1,DEN (-430),MIA (+330)
2022,NBA,Eastern Conf First Round,Milwaukee Bucks (3),4,Chicago Bulls (6),1,MIL (-1100),CHI (+700)
2022,NBA,Western Conf First Round,Memphis Grizzlies (2),4,Minnesota Timberwolves (7),2,MEM (-320),MIN (+260)
2022,NBA,Eastern Conf First Round,Boston Celtics (2),4,Brooklyn Nets (7),0,BOS (-130),BRK (+110)
2022,NBA,Western Conf First Round,Golden State Warriors (3),4,Denver Nuggets (6),1,GSW (-275),DEN (+225)
2022,NBA,Western Conf First Round,Dallas Mavericks (4),4,Utah Jazz (5),2,UTA (-300),DAL (+245)
2022,NBA,Eastern Conf First Round,Philadelphia 76ers (4),4,Toronto Raptors (5),2,PHI (-175),TOR (+155)
2022,NBA,Western Conf First Round,Phoenix Suns (1),4,New Orleans Pelicans (8),2,PHO (-1350),NOP (+750)
2022,NBA,Eastern Conf First Round,Miami Heat (1),4,Atlanta Hawks (8),1,MIA (-420),ATL (+330)
2022,NBA,Eastern Conf Semifinals,Boston Celtics (2),4,Milwaukee Bucks (3),3,BOS (-200),MIL (+170)
2022,NBA,Eastern Conf Semifinals,Miami Heat (1),4,Philadelphia 76ers (4),2,MIA (-310),PHI (+250)
2022,NBA,Western Conf Semifinals,Dallas Mavericks (4),4,Phoenix Suns (1),3,PHO (-295),DAL (+240)
2022,NBA,Western Conf Semifinals,Golden State Warriors (3),4,Memphis Grizzlies (2),2,GSW (-255),MEM (+210)
2022,NBA,Western Conf Finals,Golden State Warriors (3),4,Dallas Mavericks (4),1,GSW (-220),DAL (+180)
2022,NBA,Eastern Conf Finals,Boston Celtics (2),4,Miami Heat (1),3,BOS (-160),MIA (+140)
2022,NBA,Finals,Golden State Warriors (3),4,Boston Celtics (2),2,GSW (-145),BOS (+125)
2021,NBA,Eastern Conf First Round,Milwaukee Bucks (3),4,Miami Heat (6),0,MIL (-320),MIA (+250)
2021,NBA,Western Conf First Round,Los Angeles Clippers (4),4,Dallas Mavericks (5),3,LAC (-400),DAL (+310)
2021,NBA,Eastern Conf First Round,Brooklyn Nets (2),4,Boston Celtics (7),1,BRK (-1400),BOS (+800)
2021,NBA,Western Conf First Round,Denver Nuggets (3),4,Portland Trail Blazers (6),2,POR (-130),DEN (+110)
2021,NBA,Eastern Conf First Round,Philadelphia 76ers (1),4,Washington Wizards (8),1,PHI (-1000),WAS (+650)
2021,NBA,Western Conf First Round,Utah Jazz (1),4,Memphis Grizzlies (8),1,UTA (-1400),MEM (+800)
2021,NBA,Eastern Conf First Round,Atlanta Hawks (5),4,New York Knicks (4),1,ATL (-130),NYK (+110)
2021,NBA,Western Conf First Round,Phoenix Suns (2),4,Los Angeles Lakers (7),2,LAL (-175),PHO (+155)
2021,NBA,Eastern Conf Semifinals,Milwaukee Bucks (3),4,Brooklyn Nets (2),3,BRK (-180),MIL (+160)
2021,NBA,Eastern Conf Semifinals,Atlanta Hawks (5),4,Philadelphia 76ers (1),3,PHI (-175),ATL (+155)
2021,NBA,Western Conf Semifinals,Phoenix Suns (2),4,Denver Nuggets (3),0,PHO (-210),DEN (+175)
2021,NBA,Western Conf Semifinals,Los Angeles Clippers (4),4,Utah Jazz (1),2,UTA (-130),LAC (+110)
2021,NBA,Western Conf Finals,Phoenix Suns (2),4,Los Angeles Clippers (4),2,PHO (-200),LAC (+170)
2021,NBA,Eastern Conf Finals,Milwaukee Bucks (3),4,Atlanta Hawks (5),2,MIL (-500),ATL (+400)
2021,NBA,Finals,Milwaukee Bucks (3),4,Phoenix Suns (2),2,PHO (-180),MIL (+160)
2020,NBA,Eastern Conf First Round,Milwaukee Bucks (1),4,Orlando Magic (8),1,MIL (-7500),ORL (+3250)
2020,NBA,Eastern Conf First Round,Toronto Raptors (2),4,Brooklyn Nets (7),0,TOR (-2200),BRK (+1315)
2020,NBA,Eastern Conf First Round,Boston Celtics (3),4,Philadelphia 76ers (6),0,BOS (-450),PHI (+360)
2020,NBA,Eastern Conf First Round,Miami Heat (5),4,Indiana Pacers (4),0,MIA (-320),IND (+260)
2020,NBA,Western Conf First Round,Los Angeles Lakers (1),4,Portland Trail Blazers (8),1,LAL (-550),POR (+425)
2020,NBA,Western Conf First Round,Los Angeles Clippers (2),4,Dallas Mavericks (7),2,LAC (-630),DAL (+465)
2020,NBA,Western Conf First Round,Denver Nuggets (3),4,Utah Jazz (6),3,DEN (-285),UTA (+243)
2020,NBA,Western Conf First Round,Houston Rockets (4),4,Oklahoma City Thunder (5),3,HOU (-160),OKC (+140)
2020,NBA,Eastern Conf Semifinals,Boston Celtics (3),4,Toronto Raptors (2),3,TOR (-135),BOS (+115)
2020,NBA,Eastern Conf Semifinals,Miami Heat (5),4,Milwaukee Bucks (1),1,MIL (-440),MIA (+350)
2020,NBA,Western Conf Semifinals,Denver Nuggets (3),4,Los Angeles Clippers (2),3,LAC (-1300),DEN (+850)
2020,NBA,Western Conf Semifinals,Los Angeles Lakers (1),4,Houston Rockets (4),1,LAL (-550),HOU (+425)
2020,NBA,Eastern Conf Finals,Miami Heat (5),4,Boston Celtics (3),2,BOS (-130),MIA (+110)
2020,NBA,Western Conf Finals,Los Angeles Lakers (1),4,Denver Nuggets (3),1,LAL (-550),DEN (+425)
2020,NBA,Finals,Los Angeles Lakers (1),4,Miami Heat (5),2,LAL (-350),MIA (+290)
2019,NBA,Eastern Conf First Round,Milwaukee Bucks (1),4,Detroit Pistons (8),0,MIL (-3500),DET (+1750)
2019,NBA,Eastern Conf First Round,Toronto Raptors (2),4,Orlando Magic (7),1,TOR (-1200),ORL (+775)
2019,NBA,Eastern Conf First Round,Philadelphia 76ers (3),4,Brooklyn Nets (6),1,PHI (-600),BRK (+450)
2019,NBA,Eastern Conf First Round,Boston Celtics (4),4,Indiana Pacers (5),0,BOS (-465),IND (+370)
2019,NBA,Western Conf First Round,Golden State Warriors (1),4,Los Angeles Clippers (8),2,GSW (-15000),LAC (+6000)
2019,NBA,Western Conf First Round,Denver Nuggets (2),4,San Antonio Spurs (7),3,DEN (-270),SAS (+230)
2019,NBA,Western Conf First Round,Portland Trail Blazers (3),4,Oklahoma City Thunder (6),1,OKC (-165),POR (+145)
2019,NBA,Western Conf First Round,Houston Rockets (4),4,Utah Jazz (5),1,HOU (-310),UTA (+255)
2019,NBA,Eastern Conf Semifinals,Milwaukee Bucks (1),4,Boston Celtics (4),1,MIL (-360),BOS (+300)
2019,NBA,Eastern Conf Semifinals,Toronto Raptors (2),4,Philadelphia 76ers (3),3,TOR (-290),PHI (+245)
