season,league,round,winner,winner_wins,loser,loser_wins,Favorite,Underdog
2011,NBA,Western Conf First Round,Oklahoma City Thunder (4),4,Denver Nuggets (5),1,OKC (-220),DEN (+170)
2011,NBA,Eastern Conf Semifinals,Chicago Bulls (1),4,Atlanta Hawks (5),2,CHI (-800),ATL (+550)
2011,NBA,Eastern Conf Semifinals,Miami Heat (2),4,Boston Celtics (3),1,MIA (-190),BOS (+165)
2011,NBA,Western Conf Semifinals,Dallas Mavericks (3),4,Los Angeles Lakers (2),0,LAL (-360),DAL (+280)
2011,NBA,Western Conf Semifinals,Oklahoma City Thunder (4),4,Memphis Grizzlies (8),3,OKC (-350),MEM (+275)
2011,NBA,Eastern Conf Finals,Miami Heat (2),4,Chicago Bulls (1),1,MIA (-190),CHI (+160)
2011,NBA,Western Conf Finals,Dallas Mavericks (3),4,Oklahoma City Thunder (4),1,DAL (-240),OKC (+200)
2011,NBA,Finals,Dallas Mavericks (3),4,Miami Heat (2),2,MIA (-175),DAL (+155)
2010,NBA,Eastern Conf First Round,Cleveland Cavaliers (1),4,Chicago Bulls (8),1,CLE (-3000),CHI (+1400)
2010,NBA,Eastern Conf First Round,Orlando Magic (2),4,Charlotte Bobcats (7),0,ORL (-1000),CHA (+650)
2010,NBA,Eastern Conf First Round,Atlanta Hawks (3),4,Milwaukee Bucks (6),3,ATL (-750),MIL (+550)
2010,NBA,Eastern Conf First Round,Boston Celtics (4),4,Miami Heat (5),1,BOS (-175),MIA (+155)
2010,NBA,Western Conf First Round,Los Angeles Lakers (1),4,Oklahoma City Thunder (8),2,LAL (-800),OKC (+600)
2010,NBA,Western Conf First Round,San Antonio Spurs (7),4,Dallas Mavericks (2),2,DAL (-150),SAS (+130)
2010,NBA,Western Conf First Round,Phoenix Suns (3),4,Portland Trail Blazers (6),2,PHO (-500),POR (+400)
2010,NBA,Western Conf First Round,Utah Jazz (5),4,Denver Nuggets (4),2,DEN (-175),UTA (+150)
2010,NBA,Eastern Conf Semifinals,Boston Celtics (4),4,Cleveland Cavaliers (1),2,CLE (-480),BOS (+380)
2010,NBA,Eastern Conf Semifinals,Orlando Magic (2),4,Atlanta Hawks (3),0,ORL (-800),ATL (+550)
2010,NBA,Western Conf Semifinals,Los Angeles Lakers (1),4,Utah Jazz (5),0,LAL (-420),UTA (+310)
2010,NBA,Western Conf Semifinals,Phoenix Suns (3),4,San Antonio Spurs (7),0,PHO (-140),SAS (+120)
2010,NBA,Western Conf Finals,Los Angeles Lakers (1),4,Phoenix Suns (3),2,LAL (-340),PHO (+270)
2010,NBA,Eastern Conf Finals,Boston Celtics (4),4,Orlando Magic (2),2,ORL (-260),BOS (+220)
2010,NBA,Finals,Los Angeles Lakers (1),4,Boston Celtics (4),3,LAL (-190),BOS (+165)
2009,NBA,Eastern Conf First Round,Cleveland Cavaliers (1),4,Detroit Pistons (8),0,CLE (-5000),DET (+3000)
2009,NBA,Eastern Conf First Round,Boston Celtics (2),4,Chicago Bulls (7),3,BOS (-545),CHI (+405)
2009,NBA,Eastern Conf First Round,Orlando Magic (3),4,Philadelphia 76ers (6),2,ORL (-1400),PHI (+800)
2009,NBA,Eastern Conf First Round,Atlanta Hawks (4),4,Miami Heat (5),3,ATL (-145),MIA (+125)
2009,NBA,Western Conf First Round,Los Angeles Lakers (1),4,Utah Jazz (8),1,LAL (-2000),UTA (+1200)
2009,NBA,Western Conf First Round,Denver Nuggets (2),4,New Orleans Hornets (7),1,DEN (-210),NOH (+175)
2009,NBA,Western Conf First Round,Dallas Mavericks (6),4,San Antonio Spurs (3),1,SAS (-190),DAL (+160)
2009,NBA,Western Conf First Round,Houston Rockets (5),4,Portland Trail Blazers (4),2,POR (-175),HOU (+150)
2009,NBA,Western Conf Semifinals,Los Angeles Lakers (1),4,Houston Rockets (5),3,LAL (-1100),HOU (+700)
2009,NBA,Western Conf Semifinals,Denver Nuggets (2),4,Dallas Mavericks (6),1,DEN (-240),DAL (+200)
2009,NBA,Eastern Conf Semifinals,Cleveland Cavaliers (1),4,Atlanta Hawks (4),0,CLE (-2450),ATL (+1000)
2009,NBA,Eastern Conf Semifinals,Orlando Magic (3),4,Boston Celtics (2),3,BOS (-120),ORL (+100)
2009,NBA,Eastern Conf Finals,Orlando Magic (3),4,Cleveland Cavaliers (1),2,CLE (-700),ORL (+550)
2009,NBA,Western Conf Finals,Los Angeles Lakers (1),4,Denver Nuggets (2),2,LAL (-250),DEN (+210)
2009,NBA,Finals,Los Angeles Lakers (1),4,Orlando Magic (3),1,LAL (-280),ORL (+240)
2008,NBA,Eastern Conf First Round,Boston Celtics (1),4,Atlanta Hawks (8),3,BOS (-8000),ATL (+4000)
2008,NBA,Eastern Conf First Round,Detroit Pistons (2),4,Philadelphia 76ers (7),2,DET (-1300),PHI (+850)
2008,NBA,Eastern Conf First Round,Orlando Magic (3),4,Toronto Raptors (6),1,ORL (-310),TOR (+260)
2008,NBA,Eastern Conf First Round,Cleveland Cavaliers (4),4,Washington Wizards (5),2,CLE (-115),WAS (-105)
2008,NBA,Western Conf First Round,Los Angeles Lakers (1),4,Denver Nuggets (8),0,LAL (-560),DEN (+460)
2008,NBA,Western Conf First Round,New Orleans Hornets (2),4,Dallas Mavericks (7),1,NOH (-145),DAL (+125)
2008,NBA,Western Conf First Round,San Antonio Spurs (3),4,Phoenix Suns (6),1,SAS (-140),PHO (+120)
2008,NBA,Western Conf First Round,Utah Jazz (4),4,Houston Rockets (5),2,UTA (-215),HOU (+185)
2008,NBA,Eastern Conf Semifinals,Boston Celtics (1),4,Cleveland Cavaliers (4),3,BOS (-900),CLE (+600)
2008,NBA,Eastern Conf Semifinals,Detroit Pistons (2),4,Orlando Magic (3),1,DET (-305),ORL (+255)
2008,NBA,Western Conf Semifinals,Los Angeles Lakers (1),4,Utah Jazz (4),2,LAL (-350),UTA (+290)
2008,NBA,Western Conf Semifinals,San Antonio Spurs (3),4,New Orleans Hornets (2),3,SAS (-135),NOH (+115)
2008,NBA,Eastern Conf Finals,Boston Celtics (1),4,Detroit Pistons (2),2,BOS (-135),DET (+115)
2008,NBA,Western Conf Finals,Los Angeles Lakers (1),4,San Antonio Spurs (3),1,LAL (-250),SAS (+210)
2008,NBA,Finals,Boston Celtics (1),4,Los Angeles Lakers (1),2,LAL (-180),BOS (+160)
2007,NBA,Eastern Conf First Round,Chicago Bulls (5),4,Miami Heat (4),0,CHI (-140),MIA (+120)
2007,NBA,Eastern Conf First Round,Cleveland Cavaliers (2),4,Washington Wizards (7),0,CLE (-2400),WAS (+1600)
2007,NBA,Eastern Conf First Round,Detroit Pistons (1),4,Orlando Magic (8),0,DET (-2200),ORL (+1400)
2007,NBA,Eastern Conf First Round,New Jersey Nets (6),4,Toronto Raptors (3),2,TOR (-165),NJN (+145)
2007,NBA,Western Conf First Round,Golden State Warriors (8),4,Dallas Mavericks (1),2,DAL (-1800),GSW (+1200)
2007,NBA,Western Conf First Round,Phoenix Suns (2),4,Los Angeles Lakers (7),1,PHO (-1600),LAL (+1000)
2007,NBA,Western Conf First Round,San Antonio Spurs (3),4,Denver Nuggets (6),1,SAS (-750),DEN (+550)
2007,NBA,Western Conf First Round,Utah Jazz (4),4,Houston Rockets (5),3,HOU (-240),UTA (+200)
2007,NBA,Eastern Conf Semifinals,Cleveland Cavaliers (2),4,New Jersey Nets (6),2,CLE (-260),NJN (+220)
2007,NBA,Eastern Conf Semifinals,Detroit Pistons (1),4,Chicago Bulls (5),2,DET (-175),CHI (+155)
2007,NBA,Western Conf Semifinals,San Antonio Spurs (3),4,Phoenix Suns (2),2,PHO (-150),SAS (+130)
2007,NBA,Western Conf Semifinals,Utah Jazz (4),4,Golden State Warriors (8),1,UTA (-135),GSW (+115)
2007,NBA,Eastern Conf Finals,Cleveland Cavaliers (2),4,Detroit Pistons (1),2,DET (-330),CLE (+270)
2007,NBA,Western Conf Finals,San Antonio Spurs (3),4,Utah Jazz (4),1,SAS (-440),UTA (+350)
2007,NBA,Finals,San Antonio Spurs (3),4,Cleveland Cavaliers (2),0,SAS (-450),CLE (+360)
2006,NBA,Eastern Conf First Round,Cleveland Cavaliers (4),4,Washington Wizards (5),2,CLE (-180),WAS (+160)
2006,NBA,Eastern Conf First Round,Detroit Pistons (1),4,Milwaukee Bucks (8),1,DET (-5500),MIL (+3250)
2006,NBA,Eastern Conf First Round,Miami Heat (2),4,Chicago Bulls (7),2,MIA (-850),CHI (+625)
2006,NBA,Eastern Conf First Round,New Jersey Nets (3),4,Indiana Pacers (6),2,NJN (-325),IND (+275)
2006,NBA,Western Conf First Round,Dallas Mavericks (4),4,Memphis Grizzlies (5),0,DAL (-725),MEM (+525)
2006,NBA,Western Conf First Round,Los Angeles Clippers (6),4,Denver Nuggets (3),1,LAC (-185),DEN (+145)
2006,NBA,Western Conf First Round,Phoenix Suns (2),4,Los Angeles Lakers (7),3,PHO (-360),LAL (+300)
2006,NBA,Western Conf First Round,San Antonio Spurs (1),4,Sacramento Kings (8),2,SAS (-1050),SAC (+725)
2006,NBA,Eastern Conf Semifinals,Detroit Pistons (1),4,Cleveland Cavaliers (4),3,DET (-2000),CLE (+1200)
2006,NBA,Eastern Conf Semifinals,Miami Heat (2),4,New Jersey Nets (3),1,MIA (-190),NJN (+160)
2006,NBA,Western Conf Semifinals,Dallas Mavericks (4),4,San Antonio Spurs (1),3,SAS (-180),DAL (+150)
2006,NBA,Western Conf Semifinals,Phoenix Suns (2),4,Los Angeles Clippers (6),3,PHO (-205),LAC (+185)
2006,NBA,Eastern Conf Finals,Miami Heat (2),4,Detroit Pistons (1),2,DET (-245),MIA (+205)
2006,NBA,Western Conf Finals,Dallas Mavericks (4),4,Phoenix Suns (2),2,DAL (-355),PHO (+295)
2006,NBA,Finals,Miami Heat (2),4,Dallas Mavericks (4),2,DAL (-150),MIA (+130)
2005,NBA,Eastern Conf First Round,Detroit Pistons (2),4,Philadelphia 76ers (7),1,DET (-1200),PHI (+800)
2005,NBA,Eastern Conf First Round,Indiana Pacers (6),4,Boston Celtics (3),3,BOS (-135),IND (+115)
2005,NBA,Eastern Conf First Round,Miami Heat (1),4,New Jersey Nets (8),0,MIA (-1200),NJN (+800)
2005,NBA,Eastern Conf First Round,Washington Wizards (5),4,Chicago Bulls (4),2,CHI (-145),WAS (+125)
2005,NBA,Western Conf First Round,Dallas Mavericks (4),4,Houston Rockets (5),3,DAL (-220),HOU (+180)
2005,NBA,Western Conf First Round,Phoenix Suns (1),4,Memphis Grizzlies (8),0,PHO (-1200),MEM (+800)
2005,NBA,Western Conf First Round,San Antonio Spurs (2),4,Denver Nuggets (7),1,SAS (-500),DEN (+400)
2005,NBA,Western Conf First Round,Seattle SuperSonics (3),4,Sacramento Kings (6),1,SAC (-120),SEA (+100)
2005,NBA,Eastern Conf Semifinals,Detroit Pistons (2),4,Indiana Pacers (6),2,DET (-1100),IND (+700)
2005,NBA,Eastern Conf Semifinals,Miami Heat (1),4,Washington Wizards (5),0,MIA (-1800),WAS (+1200)
2005,NBA,Western Conf Semifinals,Phoenix Suns (1),4,Dallas Mavericks (4),2,PHO (-300),DAL (+220)
2005,NBA,Western Conf Semifinals,San Antonio Spurs (2),4,Seattle SuperSonics (3),2,SAS (-1200),SEA (+800)
2005,NBA,Eastern Conf Finals,Detroit Pistons (2),4,Miami Heat (1),3,MIA (-130),DET (+110)
2005,NBA,Western Conf Finals,San Antonio Spurs (2),4,Phoenix Suns (1),1,SAS (-160),PHO (+140)
2005,NBA,Finals,San Antonio Spurs (2),4,Detroit Pistons (2),3,SAS (-250),DET (+200)
2004,NBA,Eastern Conf First Round,Detroit Pistons (3),4,Milwaukee Bucks (6),1,DET (-1780),MIL (+1430)
2004,NBA,Eastern Conf First Round,Indiana Pacers (1),4,Boston Celtics (8),0,IND (-1980),BOS (+1520)
2004,NBA,Eastern Conf First Round,Miami Heat (4),4,New Orleans Hornets (5),3,MIA (-277),NOH (+243)
2004,NBA,Eastern Conf First Round,New Jersey Nets (2),4,New York Knicks (7),0,NJN (-580),NYK (+500)
2004,NBA,Western Conf First Round,Los Angeles Lakers (2),4,Houston Rockets (7),1,LAL (-1080),HOU (+920)
2004,NBA,Western Conf First Round,Minnesota Timberwolves (1),4,Denver Nuggets (8),1,MIN (-1920),DEN (+1540)
2004,NBA,Western Conf First Round,Sacramento Kings (4),4,Dallas Mavericks (5),1,SAC (-164),DAL (+148)
2004,NBA,Western Conf First Round,San Antonio Spurs (3),4,Memphis Grizzlies (6),0,SAS (-1080),MEM (+920)
2004,NBA,Eastern Conf Semifinals,Detroit Pistons (3),4,New Jersey Nets (2),3,DET (-210),NJN (+180)
2004,NBA,Eastern Conf Semifinals,Indiana Pacers (1),4,Miami Heat (4),2,IND (-2300),MIA (+1600)
2004,NBA,Western Conf Semifinals,Los Angeles Lakers (2),4,San Antonio Spurs (3),2,SAS (-140),LAL (+120)
2004,NBA,Western Conf Semifinals,Minnesota Timberwolves (1),4,Sacramento Kings (4),3,MIN (-160),SAC (+140)
2004,NBA,Eastern Conf Finals,Detroit Pistons (3),4,Indiana Pacers (1),2,IND (-165),DET (+145)
2004,NBA,Western Conf Finals,Los Angeles Lakers (2),4,Minnesota Timberwolves (1),2,LAL (-330),MIN (+270)
2004,NBA,Finals,Detroit Pistons (3),4,Los Angeles Lakers (2),1,LAL (-700),DET (+500)
2003,NBA,Eastern Conf First Round,Boston Celtics (6),4,Indiana Pacers (3),2,IND (-340),BOS (+280)
2003,NBA,Eastern Conf First Round,Detroit Pistons (1),4,Orlando Magic (8),3,DET (-220),ORL (+180)
2003,NBA,Eastern Conf First Round,New Jersey Nets (2),4,Milwaukee Bucks (7),2,NJN (-280),MIL (+230)
2003,NBA,Eastern Conf First Round,Philadelphia 76ers (4),4,New Orleans Hornets (5),2,PHI (-179),NOH (+150)
2003,NBA,Western Conf First Round,Dallas Mavericks (3),4,Portland Trail Blazers (6),3,DAL (-400),POR (+320)
2003,NBA,Western Conf First Round,Los Angeles Lakers (5),4,Minnesota Timberwolves (4),2,LAL (-400),MIN (+320)
2003,NBA,Western Conf First Round,Sacramento Kings (2),4,Utah Jazz (7),1,SAC (-1400),UTA (+1000)
2003,NBA,Western Conf First Round,San Antonio Spurs (1),4,Phoenix Suns (8),2,SAS (-1000),PHO (+700)
2003,NBA,Eastern Conf Semifinals,Detroit Pistons (1),4,Philadelphia 76ers (4),2,PHI (-150),DET (+130)
2003,NBA,Eastern Conf Semifinals,New Jersey Nets (2),4,Boston Celtics (6),0,NJN (-380),BOS (+320)
2003,NBA,Western Conf Semifinals,Dallas Mavericks (3),4,Sacramento Kings (2),3,SAC (-280),DAL (+240)
2003,NBA,Western Conf Semifinals,San Antonio Spurs (1),4,Los Angeles Lakers (5),2,LAL (-145),SAS (+125)
2003,NBA,Eastern Conf Finals,New Jersey Nets (2),4,Detroit Pistons (1),0,NJN (-300),DET (+250)
2003,NBA,Western Conf Finals,San Antonio Spurs (1),4,Dallas Mavericks (3),2,SAS (-380),DAL (+320)
2003,NBA,Finals,San Antonio Spurs (1),4,New Jersey Nets (2),2,SAS (-330),NJN (+260)
2002,NBA,Eastern Conf First Round,Boston Celtics (3),3,Philadelphia 76ers (6),2,BOS (-200),PHI (+170)
2002,NBA,Eastern Conf First Round,Charlotte Hornets (4),3,Orlando Magic (5),1,CHH (-300),ORL (+250)
2002,NBA,Eastern Conf First Round,Detroit Pistons (2),3,Toronto Raptors (7),2,DET (-450),TOR (+325)
2002,NBA,Eastern Conf First Round,New Jersey Nets (1),3,Indiana Pacers (8),2,NJN (-400),IND (+300)
2002,NBA,Western Conf First Round,Dallas Mavericks (4),3,Minnesota Timberwolves (5),0,DAL (-500),MIN (+400)
2002,NBA,Western Conf First Round,Los Angeles Lakers (3),3,Portland Trail Blazers (6),0,LAL (-600),POR (+450)
2002,NBA,Western Conf First Round,Sacramento Kings (1),3,Utah Jazz (8),1,SAC (-2000),UTA (+1400)
2002,NBA,Western Conf First Round,San Antonio Spurs (2),3,Seattle SuperSonics (7),2,SAS (-750),SEA (+550)
2002,NBA,Eastern Conf Semifinals,Boston Celtics (3),4,Detroit Pistons (2),1,DET (-125),BOS (+105)
2002,NBA,Eastern Conf Semifinals,New Jersey Nets (1),4,Charlotte Hornets (4),1,NJN (-160),CHH (+140)
2002,NBA,Western Conf Semifinals,Los Angeles Lakers (3),4,San Antonio Spurs (2),1,LAL (-650),SAS (+450)
2002,NBA,Western Conf Semifinals,Sacramento Kings (1),4,Dallas Mavericks (4),1,SAC (-155),DAL (+135)
2002,NBA,Eastern Conf Finals,New Jersey Nets (1),4,Boston Celtics (3),2,NJN (-135),BOS (+115)
2002,NBA,Western Conf Finals,Los Angeles Lakers (3),4,Sacramento Kings (1),3,LAL (-230),SAC (+190)
2002,NBA,Finals,Los Angeles Lakers (3),4,New Jersey Nets (1),0,LAL (-750),NJN (+550)
2001,NBA,Eastern Conf First Round,Charlotte Hornets (6),3,Miami Heat (3),0,MIA (-180),CHH (+160)
2001,NBA,Eastern Conf First Round,Milwaukee Bucks (2),3,Orlando Magic (7),1,MIL (-500),ORL (+350)
2001,NBA,Eastern Conf First Round,Philadelphia 76ers (1),3,Indiana Pacers (8),1,PHI (-600),IND (+400)
2001,NBA,Eastern Conf First Round,Toronto Raptors (5),3,New York Knicks (4),2,NYK (-170),TOR (+150)
2001,NBA,Western Conf First Round,Dallas Mavericks (5),3,Utah Jazz (4),2,UTA (-180),DAL (+160)
2001,NBA,Western Conf First Round,Los Angeles Lakers (2),3,Portland Trail Blazers (7),0,LAL (-400),POR (+300)
2001,NBA,Western Conf First Round,Sacramento Kings (3),3,Phoenix Suns (6),1,SAC (-400),PHO (+300)
2001,NBA,Western Conf First Round,San Antonio Spurs (1),3,Minnesota Timberwolves (8),1,SAS (-900),MIN (+600)
2001,NBA,Eastern Conf Semifinals,Milwaukee Bucks (2),4,Charlotte Hornets (6),3,MIL (-230),CHH (+190)
2001,NBA,Eastern Conf Semifinals,Philadelphia 76ers (1),4,Toronto Raptors (5),3,PHI (-340),TOR (+280)
2001,NBA,Western Conf Semifinals,Los Angeles Lakers (2),4,Sacramento Kings (3),0,LAL (-360),SAC (+290)
2001,NBA,Western Conf Semifinals,San Antonio Spurs (1),4,Dallas Mavericks (5),1,SAS (-650),DAL (+450)
2001,NBA,Eastern Conf Finals,Philadelphia 76ers (1),4,Milwaukee Bucks (2),3,PHI (-180),MIL (+160)
2001,NBA,Western Conf Finals,Los Angeles Lakers (2),4,San Antonio Spurs (1),0,LAL (-145),SAS (+125)
2001,NBA,Finals,Los Angeles Lakers (2),4,Philadelphia 76ers (1),1,LAL (-2000),PHI (+1600)
2000,NBA,Eastern Conf First Round,Indiana Pacers (1),3,Milwaukee Bucks (8),2,IND (-800),MIL (+550)
2000,NBA,Eastern Conf First Round,Miami Heat (2),3,Detroit Pistons (7),0,,
2000,NBA,Eastern Conf First Round,New York Knicks (3),3,Toronto Raptors (6),0,NYK (-230),TOR (+190)
2000,NBA,Eastern Conf First Round,Philadelphia 76ers (5),3,Charlotte Hornets (4),1,CHH (-140),PHI (+120)
2000,NBA,Western Conf First Round,Los Angeles Lakers (1),3,Sacramento Kings (8),2,LAL (-2000),SAC (+1200)
2000,NBA,Western Conf First Round,Phoenix Suns (5),3,San Antonio Spurs (4),1,,
2000,NBA,Western Conf First Round,Portland Trail Blazers (3),3,Minnesota Timberwolves (6),1,POR (-330),MIN (+250)
2000,NBA,Western Conf First Round,Utah Jazz (2),3,Seattle SuperSonics (7),2,UTA (-650),SEA (+450)
2000,NBA,Eastern Conf Semifinals,Indiana Pacers (1),4,Philadelphia 76ers (5),2,IND (-185),PHI (+165)
2000,NBA,Eastern Conf Semifinals,New York Knicks (3),4,Miami Heat (2),3,MIA (-155),NYK (+135)
2000,NBA,Western Conf Semifinals,Los Angeles Lakers (1),4,Phoenix Suns (5),1,LAL (-2200),PHO (+1500)
2000,NBA,Western Conf Semifinals,Portland Trail Blazers (3),4,Utah Jazz (2),1,POR (-240),UTA (+190)
2000,NBA,Eastern Conf Finals,Indiana Pacers (1),4,New York Knicks (3),2,IND (-260),NYK (+220)
2000,NBA,Western Conf Finals,Los Angeles Lakers (1),4,Portland Trail Blazers (3),3,LAL (-340),POR (+280)
2000,NBA,Finals,Los Angeles Lakers (1),4,Indiana Pacers (1),2,LAL (-800),IND (+550)
1999,NBA,Eastern Conf First Round,Atlanta Hawks (4),3,Detroit Pistons (5),2,ATL (-160),DET (+140)
1999,NBA,Eastern Conf First Round,Indiana Pacers (2),3,Milwaukee Bucks (7),0,IND (-400),MIL (+300)
1999,NBA,Eastern Conf First Round,New York Knicks (8),3,Miami Heat (1),2,MIA (-280),NYK (+230)
1999,NBA,Eastern Conf First Round,Philadelphia 76ers (6),3,Orlando Magic (3),1,ORL (-210),PHI (+175)
1999,NBA,Western Conf First Round,Los Angeles Lakers (4),3,Houston Rockets (5),1,LAL (-165),HOU (+145)
1999,NBA,Western Conf First Round,Portland Trail Blazers (2),3,Phoenix Suns (7),0,POR (-500),PHO (+350)
1999,NBA,Western Conf First Round,San Antonio Spurs (1),3,Minnesota Timberwolves (8),1,SAS (-1500),MIN (+1000)
1999,NBA,Western Conf First Round,Utah Jazz (3),3,Sacramento Kings (6),2,UTA (-1000),SAC (+700)
1999,NBA,Eastern Conf Semifinals,Indiana Pacers (2),4,Philadelphia 76ers (6),0,IND (-400),PHI (+300)
1999,NBA,Eastern Conf Semifinals,New York Knicks (8),4,Atlanta Hawks (4),0,ATL (-135),NYK (+115)
1999,NBA,Western Conf Semifinals,Portland Trail Blazers (2),4,Utah Jazz (3),2,UTA (-125),POR (+105)
1999,NBA,Western Conf Semifinals,San Antonio Spurs (1),4,Los Angeles Lakers (4),0,SAS (-220),LAL (+180)
1999,NBA,Eastern Conf Finals,New York Knicks (8),4,Indiana Pacers (2),2,IND (-240),NYK (+200)
1999,NBA,Western Conf Finals,San Antonio Spurs (1),4,Portland Trail Blazers (2),0,SAS (-200),POR (+170)
1999,NBA,Finals,San Antonio Spurs (1),4,New York Knicks (8),1,SAS (-900),NYK (+600)
1998,NBA,Eastern Conf First Round,Charlotte Hornets (4),3,Atlanta Hawks (5),1,CHH (-120),ATL (+100)
1998,NBA,Eastern Conf First Round,Chicago Bulls (1),3,New Jersey Nets (8),0,CHI (-2500),NJN (+1800)
1998,NBA,Eastern Conf First Round,Indiana Pacers (3),3,Cleveland Cavaliers (6),1,IND (-450),CLE (+325)
1998,NBA,Eastern Conf First Round,New York Knicks (7),3,Miami Heat (2),2,MIA (-500),NYK (+350)
1998,NBA,Western Conf First Round,Los Angeles Lakers (3),3,Portland Trail Blazers (6),1,LAL (-550),POR (+375)
1998,NBA,Western Conf First Round,San Antonio Spurs (5),3,Phoenix Suns (4),1,PHO (-135),SAS (+115)
1998,NBA,Western Conf First Round,Seattle SuperSonics (2),3,Minnesota Timberwolves (7),2,SEA (-2000),MIN (+1400)
1998,NBA,Western Conf First Round,Utah Jazz (1),3,Houston Rockets (8),2,UTA (-850),HOU (+525)
1998,NBA,Eastern Conf Semifinals,Chicago Bulls (1),4,Charlotte Hornets (4),1,CHI (-2000),CHH (+1400)
1998,NBA,Eastern Conf Semifinals,Indiana Pacers (3),4,New York Knicks (7),1,IND (-1100),NYK (+700)
1998,NBA,Western Conf Semifinals,Los Angeles Lakers (3),4,Seattle SuperSonics (2),1,LAL (-115),SEA (-105)
1998,NBA,Western Conf Semifinals,Utah Jazz (1),4,San Antonio Spurs (5),1,UTA (-270),SAS (+210)
1998,NBA,Eastern Conf Finals,Chicago Bulls (1),4,Indiana Pacers (3),3,CHI (-600),IND (+400)
1998,NBA,Western Conf Finals,Utah Jazz (1),4,Los Angeles Lakers (3),0,LAL (-130),UTA (+110)
1998,NBA,Finals,Chicago Bulls (1),4,Utah Jazz (1),2,CHI (-125),UTA (+105)
1997,NBA,Eastern Conf First Round,Atlanta Hawks (4),3,Detroit Pistons (5),2,ATL (-170),DET (+150)
1997,NBA,Eastern Conf First Round,Chicago Bulls (1),3,Washington Bullets (8),0,CHI (-2500),WSB (+1800)
1997,NBA,Eastern Conf First Round,Miami Heat (2),3,Orlando Magic (7),2,MIA (-400),ORL (+300)
1997,NBA,Eastern Conf First Round,New York Knicks (3),3,Charlotte Hornets (6),0,NYK (-250),CHH (+200)
1997,NBA,Western Conf First Round,Houston Rockets (3),3,Minnesota Timberwolves (6),0,HOU (-1300),MIN (+800)
1997,NBA,Western Conf First Round,Los Angeles Lakers (4),3,Portland Trail Blazers (5),1,LAL (-330),POR (+250)
1997,NBA,Western Conf First Round,Seattle SuperSonics (2),3,Phoenix Suns (7),2,SEA (-650),PHO (+450)
1997,NBA,Western Conf First Round,Utah Jazz (1),3,Los Angeles Clippers (8),0,UTA (-3300),LAC (+2200)
1997,NBA,Eastern Conf Semifinals,Chicago Bulls (1),4,Atlanta Hawks (4),1,CHI (-1700),ATL (+1100)
1997,NBA,Eastern Conf Semifinals,Miami Heat (2),4,New York Knicks (3),3,MIA (-145),NYK (+125)
1997,NBA,Western Conf Semifinals,Houston Rockets (3),4,Seattle SuperSonics (2),3,HOU (-130),SEA (+110)
1997,NBA,Western Conf Semifinals,Utah Jazz (1),4,Los Angeles Lakers (4),1,UTA (-270),LAL (+210)
1997,NBA,Eastern Conf Finals,Chicago Bulls (1),4,Miami Heat (2),1,CHI (-1700),MIA (+1100)
1997,NBA,Western Conf Finals,Utah Jazz (1),4,Houston Rockets (3),2,UTA (-220),HOU (+180)
1997,NBA,Finals,Chicago Bulls (1),4,Utah Jazz (1),2,CHI (-600),UTA (+400)
1996,NBA,Eastern Conf First Round,Atlanta Hawks (6),3,Indiana Pacers (3),2,IND (-140),ATL (+120)
1996,NBA,Eastern Conf First Round,Chicago Bulls (1),3,Miami Heat (8),0,CHI (-2500),MIA (+1800)
1996,NBA,Eastern Conf First Round,New York Knicks (5),3,Cleveland Cavaliers (4),0,CLE (-185),NYK (+165)
1996,NBA,Eastern Conf First Round,Orlando Magic (2),3,Detroit Pistons (7),0,ORL (-1500),DET (+1000)
1996,NBA,Western Conf First Round,Houston Rockets (5),3,Los Angeles Lakers (4),1,LAL (-145),HOU (+125)
1996,NBA,Western Conf First Round,San Antonio Spurs (2),3,Phoenix Suns (7),1,SAS (-500),PHO (+350)
1996,NBA,Western Conf First Round,Seattle SuperSonics (1),3,Sacramento Kings (8),1,SEA (-2200),SAC (+1500)
1996,NBA,Western Conf First Round,Utah Jazz (3),3,Portland Trail Blazers (6),2,UTA (-400),POR (+300)
1996,NBA,Eastern Conf Semifinals,Chicago Bulls (1),4,New York Knicks (5),1,CHI (-3500),NYK (+2200)
1996,NBA,Eastern Conf Semifinals,Orlando Magic (2),4,Atlanta Hawks (6),1,,
1996,NBA,Western Conf Semifinals,Seattle SuperSonics (1),4,Houston Rockets (5),0,SEA (-200),HOU (+170)
1996,NBA,Western Conf Semifinals,Utah Jazz (3),4,San Antonio Spurs (2),2,,
1996,NBA,Eastern Conf Finals,Chicago Bulls (1),4,Orlando Magic (2),0,CHI (-500),ORL (+350)
1996,NBA,Western Conf Finals,Seattle SuperSonics (1),4,Utah Jazz (3),3,SEA (-270),UTA (+210)
1996,NBA,Finals,Chicago Bulls (1),4,Seattle SuperSonics (1),2,CHI (-950),SEA (+650)
1995,NBA,Eastern Conf First Round,Chicago Bulls (5),3,Charlotte Hornets (4),1,CHI (-360),CHH (+280)
1995,NBA,Eastern Conf First Round,Indiana Pacers (2),3,Atlanta Hawks (7),0,IND (-360),ATL (+280)
1995,NBA,Eastern Conf First Round,New York Knicks (3),3,Cleveland Cavaliers (6),1,NYK (-400),CLE (+300)
1995,NBA,Eastern Conf First Round,Orlando Magic (1),3,Boston Celtics (8),1,ORL (-950),BOS (+650)
